FlyNumber,Concentration_left,Concentration_right,on,off,OdorLeft,OdorRight,StartTime
1,0.13,0.39,0.188295165394402,0.626492942453854,OCT,MCH,06-05-2024_14-31-46
2,0.13,0.39,0.645038167938931,0.536373507057546,OCT,MCH,06-05-2024_14-31-46
3,0.13,0.39,0.541984732824427,0.778501628664495,OCT,MCH,06-05-2024_14-31-46
4,0.13,0.39,0.220101781170483,0.302388707926167,OCT,MCH,06-05-2024_14-31-46
5,0.13,0.39,0.760178117048346,0.507600434310532,OCT,MCH,06-05-2024_14-31-46
6,0.13,0.39,0.47264631043257,0.260043431053203,OCT,MCH,06-05-2024_14-31-46
7,0.13,0.39,0.46882951653944,0.0510314875135722,OCT,MCH,06-05-2024_14-31-46
8,0.13,0.39,0.235368956743003,0.6357220412595,OCT,MCH,06-05-2024_14-31-46
9,0.13,0.39,0.513994910941476,0.0152008686210641,OCT,MCH,06-05-2024_14-31-46
10,0.13,0.39,0.495547073791349,0.526601520086862,OCT,MCH,06-05-2024_14-31-46
11,0.13,0.39,0.539440203562341,0.712269272529859,OCT,MCH,06-05-2024_14-31-46
12,0.13,0.39,0.452926208651399,0.488599348534202,OCT,MCH,06-05-2024_14-31-46
13,0.13,0.39,0.56234096692112,0.528773072747014,OCT,MCH,06-05-2024_14-31-46
14,0.13,0.39,0.275445292620865,0.129207383279045,OCT,MCH,06-05-2024_14-31-46
15,0.13,0.39,0.357506361323155,1,OCT,MCH,06-05-2024_14-31-46
